decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
41.84923631,9.526153748,38.33642636,83.85981581,13.36084752,75.01790365,Horota
46.84079937,10.62503993,52.63297366,87.05610623,16.48398777,75.01790365,Horota
47.84691907,8.905621242,51.74912592,93.07520752,16.48398777,105.1134101,Horota
52.20338819,1.039522923,52.31857953,99.09430881,13.45911965,105.1134101,Horota
52.06019304,1.2238802,52.0041854,105.1232598,0.022024639,105.1134101,Horota
51.37057755,1.703193056,51.43473179,105.1331095,0.026974563,105.1134101,Horota
46.97345137,7.581928082,50.08350463,105.1429593,0.026974563,105.1626587,Horota
45.67617577,8.725302644,49.30173108,103.9333672,2.721332004,105.1626587,Horota
37.2750032,11.3305739,35.72261082,102.7237752,3.33957872,105.1626587,Horota
27.37069811,21.86250154,31.26163925,101.5043335,3.33957872,99.06545003,Horota
14.70840874,19.46221211,12.72662064,100.5897522,3.048604329,99.06545003,Horota
14.79168762,19.58244655,12.72662064,99.06545003,0,99.06545003,Horota
14.79168762,19.58244655,12.72662064,226.9393921,221.4841646,99.06545003,Horota
16.94176995,21.69833523,17.02678532,354.8133341,221.4841646,482.6872762,Horota
30.3845474,22.41360944,35.72836168,482.6872762,0,482.6872762,Horota
43.59352872,9.085877713,43.74230948,482.6872762,0,482.6872762,Horota
47.63721709,8.16562548,51.45869575,482.6872762,0,482.6872762,Horota
48.79318352,7.529234463,51.48849887,482.6872762,0,482.6872762,Horota
52.14123014,0.92541212,51.85948934,355.3186279,220.6089701,482.6872762,Horota
52.87756678,1.275317061,52.82376454,291.6343038,270.1897047,291.6343038,Horota
53.34058942,1.073923008,53.41704926,100.5813314,0,100.5813314,Horota
53.42425692,0.946399019,53.41704926,100.5813314,0,100.5813314,Horota
48.4059341,8.7495642,52.48148231,100.5813314,0,100.5813314,Horota
42.41351158,13.95253,45.42178157,100.5813314,0,100.5813314,Horota
39.82189009,11.78467754,41.18491703,100.5813314,0,100.5813314,Horota
39.82189009,11.78467754,41.18491703,148.9869548,68.45588907,148.9869548,Horota
37.9802708,9.501252894,41.18491703,197.3925781,0,197.3925781,Horota
34.64193803,11.46528291,34.50825149,197.3925781,0,197.3925781,Horota
37.42926729,9.309771794,39.79665713,197.3925781,0,197.3925781,Horota
37.97954079,9.876046707,40.35028309,197.3925781,0,197.3925781,Horota
37.97954079,9.876046707,40.35028309,197.8613281,0.811898816,197.3925781,Horota
38.16630843,10.06129336,40.72381836,198.3300781,0.811898816,198.7988281,Horota
45.69355787,7.985004107,46.03546147,198.7988281,0,198.7988281,Horota
50.20017078,4.850187579,49.91042996,198.7988281,0,198.7988281,Horota
48.29217334,7.641594294,49.73704419,198.7988281,0,198.7988281,Horota
44.88611894,10.08967321,45.86207569,198.7988281,0,198.7988281,Horota
44.64212975,11.63350631,46.09443509,148.7261678,70.81343533,148.7261678,Horota
42.91527467,9.951227046,43.39359234,98.65350749,0,98.65350749,Horota
41.90758282,8.622334322,43.39359234,98.65350749,0,98.65350749,Horota
41.74151785,8.713778605,43.0614624,98.65350749,0,98.65350749,Horota
42.67417216,7.303813278,43.0614624,98.65350749,0,98.65350749,Horota
42.67417216,7.303813278,43.0614624,135.9057237,64.52273125,98.65350749,Horota
39.9823618,6.526074521,37.67784167,173.15794,64.52273125,210.4101563,Horota
39.86736817,6.300718075,37.67784167,210.4101563,0,210.4101563,Horota
42.55975206,7.393248607,43.06260944,210.4101563,0,210.4101563,Horota
43.12143961,6.67739777,43.06260944,210.4101563,0,210.4101563,Horota
41.96462399,6.334969818,37.44308572,210.4101563,0,210.4101563,Horota
43.09500856,6.707507857,43.00974735,211.0351563,1.082531755,210.4101563,Horota
43.6356746,7.405974714,43.00974735,211.6601563,1.082531755,212.2851563,Horota
44.31204052,8.110508732,44.31064821,212.2851563,0,212.2851563,Horota
47.56328449,6.836803652,50.76408978,212.2851563,0,212.2851563,Horota
49.91789267,2.170366624,50.76408978,212.2851563,0,212.2851563,Horota
49.91789267,2.170366624,50.76408978,205.3938802,11.93604023,212.2851563,Horota
45.18108587,8.786620753,48.50001945,198.5026042,11.93604023,191.6113281,Horota
39.01368594,11.28172108,39.54625097,191.6113281,0,191.6113281,Horota
28.2613006,16.36209865,29.52735242,191.6113281,0,191.6113281,Horota
