decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana
62.37959594,3.157810081,60.56493596,1180.576172,0,1180.576172
63.29542185,3.861490179,63.29542185,1180.576172,0,1180.576172
61.52988393,4.099625064,60.56493596,1180.576172,0,1180.576172
59.04317209,1.348030429,58.56577223,1180.576172,0,1180.576172
59.87319775,1.991790088,59.5653541,1180.576172,0,1180.576172
59.64261835,2.373149905,58.56577223,708.9167955,667.0270869,708.9167955
59.96384551,2.041398509,59.74664962,237.2574192,0,237.2574192
60.61885799,1.917475876,60.927527,237.2574192,0,237.2574192
60.2728427,2.483362776,60.927527,237.2574192,0,237.2574192
59.22762668,2.404022085,59.22762668,237.6884206,0.862002903,237.2574192
55.45395664,6.753622571,57.52772636,238.1194221,0.995355216,238.1194221
50.61102068,6.037305006,47.90661656,238.1194221,0.995355216,238.1194221
50.61102068,6.037305006,47.90661656,238.5504235,0.862002903,238.981425
49.75767003,4.574554391,47.90661656,238.981425,0,238.981425
51.38813923,4.958301232,51.43714548,238.981425,0,238.981425
52.54864679,5.366233307,54.96767441,240.7599386,2.515198041,240.7599386
56.17360378,1.156602675,56.27954681,240.7599386,2.515198041,240.7599386
56.17360378,1.156602675,56.27954681,242.5384521,0,242.5384521
57.82957539,1.890370682,57.27359011,242.5384521,0,242.5384521
58.60458968,1.882317649,58.60458968,242.5384521,3.48093E-14,242.5384521
59.0065251,1.502070608,59.81039594,242.5384521,3.48093E-14,242.5384521
59.8729926,0.088525042,59.8729926,242.3868434,0.30321757,242.5384521
58.65769521,2.105887358,59.81039594,242.2352346,0.350125491,242.2352346
57.49637077,2.007146279,56.45161592,242.1745911,0.332158206,241.932017
57.49637077,2.007146279,56.45161592,240.7688293,2.951678195,241.932017
56.73203633,0.689340406,56.45161592,239.3630676,3.517678813,241.932017
57.14845166,1.005186735,56.98450428,238.0785929,3.517678813,235.5096436
57.45556874,0.974512786,57.51739264,231.1555413,13.61336287,235.5096436
57.90649298,0.448946766,57.80438867,228.4614224,14.09644233,235.5096436
57.90649298,0.448946766,57.80438867,221.4132012,16.27716955,221.4132012
58.33696672,0.504959075,58.39769765,216.7143871,16.27716955,207.3167589
58.30660125,0.710235852,58.30660125,207.3167589,0,207.3167589
58.67621339,0.813668781,58.80881384,207.3167589,0,207.3167589
59.11212576,0.428947827,59.11212576,205.430603,3.77231174,207.3167589
58.68837675,0.794158533,58.80881384,204.8018844,4.355890398,207.3167589
58.62815821,1.113381298,58.62815821,203.5444472,4.355890398,203.5444472
57.50027226,2.106226274,57.84087874,202.2870099,4.355890398,199.7721354
56.54268955,1.835916765,56.54268955,199.7721354,3.48093E-14,199.7721354
54.87294394,3.170086184,55.24450035,199.7721354,0,199.7721354
48.64387131,8.425618037,51.53345271,199.7721354,0,199.7721354
48.64387131,8.425618037,51.53345271,231.7449951,45.21645182,231.7449951
47.57540607,7.297826049,51.53345271,231.7449951,45.21645182,231.7449951
47.57540607,7.297826049,51.53345271,263.7178548,0,263.7178548
49.50842499,9.349913835,52.03910461,263.7178548,0,263.7178548
54.68580705,3.743002479,54.68580705,263.7178548,0,263.7178548
55.23741992,2.813869945,56.34064567,263.7178548,0,263.7178548
56.7011142,0.548634156,56.43018744,263.7178548,0,263.7178548
56.97126376,0.701847156,56.88134846,263.7178548,0,263.7178548
56.85084851,0.807394056,56.43018744,237.2422282,37.44219025,237.2422282
56.85084851,0.807394056,56.43018744,210.7666016,0,210.7666016
56.29528332,1.558266994,56.43018744,210.7666016,0,210.7666016
53.47433166,5.015957224,54.6739501,210.7666016,0,210.7666016
51.32064128,4.742294812,51.32064128,211.4315592,1.48689058,210.7666016
46.15694258,9.551755482,47.96733246,212.0965169,1.821061612,210.7666016
36.68131932,20.49326149,41.89843882,212.7614746,1.821061612,214.09139
27.6294045,17.70334388,27.14791799,213.2601929,1.662394206,214.09139
28.77211795,19.50912669,27.14791799,214.09139,0,214.09139
34.758968,21.55612177,35.82954518,214.09139,0,214.09139
34.49132371,24.88127056,35.50223853,229.0256755,21.12026907,229.0256755
47.91984555,20.02128667,55.62227724,243.9599609,0,243.9599609
58.71085588,4.367978082,60.16835017,243.9599609,0,243.9599609
60.76841242,1.79377126,61.63033212,239.3969727,9.125976563,243.9599609
60.97892862,1.431183226,61.63033212,236.6591797,9.997006445,243.9599609
59.88424725,2.48169958,60.48412447,233.0087891,9.997006445,225.7080078
59.16599475,2.056758626,59.21672187,230.2709961,9.125976563,225.7080078
57.60368614,1.930459571,57.84786503,225.7080078,0,225.7080078
57.60368614,1.930459571,57.84786503,221.9232856,6.555331181,225.7080078
56.47345104,1.899867729,55.99065042,218.1385634,6.555331181,214.3538411
53.08085066,6.964318237,55.09903704,214.3538411,0,214.3538411
51.07595858,6.973882641,54.81697638,214.3538411,0,214.3538411
51.050612,6.950511117,54.81697638,214.3538411,0,214.3538411
51.050612,6.950511117,54.81697638,214.0195719,0.668538411,214.3538411
52.40784541,8.316932068,55.30505796,213.6853027,0.771961664,213.6853027
57.94733954,2.319588287,58.8886766,213.5515951,0.732347137,213.0167643
57.94733954,2.319588287,58.8886766,206.7290961,14.81841698,213.0167643
60.02001888,1.355979895,59.64828405,199.9065972,17.95183563,213.0167643
58.40597214,3.412678587,59.26848032,196.6290554,18.92289626,196.6290554
58.24507066,4.161036768,59.64828405,188.435201,16.38770888,180.2413466
57.54346396,5.628049594,57.54346396,183.4256388,6.368584527,180.2413466
